,level_0,translate_eng
245,107,"The application of SCADA systems for mining is interesting, but the work is limited to mentioning the mobile tools and there is no clear comparison between them. The specific contribution of these tools in a real mining process is also unclear.  There are consistency issues in the summary and introduction. The conclusions are not convincing enough, and there are some drafting problems."
246,108,"the work presents a state of the art with respect to the networks of underwater sensors UWSN and the underwater autonomous mobile robotics. In particular he describes the problematic presented, delivering topologies, strategies and hardware for communication.  The text is very descriptive, unanalytical and critical, generating little input and value, beyond a bibliographic collection."
247,108,"The work consists of a survey type article or study of the thematic on networks and sub-aquatic vehicles, bibliographic review and related technology very interesting and complete in my opinion. I suggest that I could deliver a contribution based on this study, for example by providing a taxonomy of the characteristics of the technologies required for this type of problem-solving pair, and adding a proposal through an implementation and testing methodology. The above points to it as delivery in future work, perhaps at least it should have delivered a comparative table of the associated and described technologies."
248,108,"It's a good job, well written, it treats a new topic in the network of aquatic sensors, it will report the tests more in detail and the effectiveness in the application."
249,109,"The article presents an experiment that compares different navigation architectures for a mobile robot. The architectures (algorithms, approaches) used, as well as the metrics defined to evaluate performance in navigation are described. The results are analyzed statistically using variance analysis.  The article is well written and the experiment is presented in clear form. The bibliographic references appear to be appropriate. In the introduction, the comparison objectives are correctly justified and the possible approaches to the navigation of a robot are described in general.  The selection of metrics is justified and attempts to go beyond a combination of simple measurements. The experiment is well described, although it could be explained why other obstacle configurations were not included in the observation. Statistical methods (analysis of variance) are applied correctly, although an analysis of normality in the distribution could be included.  One of the weak points of the work is that a deeper discussion of the results is needed. Beyond indicating that one of the architectures has better performance, the reasons should be discussed and further conjecture should be made.  The generalization of the results and the discussion of threats to validity should be part of the discussion. For example: In what kind of obstacles does each algorithm improve? What is the programming effort of each of the architectures? What are the robot's high-level navigation goals (deliberative behavior)?"
250,109,"It is undeniable the interest that causes the problem of the navigation of robots, so that the work presented constitutes an alternative for the choice of the architecture of control, given that it presents us by the comparison of metrics a possible solution to the problem, however it must be taken into account that it has been realized in a simulation environment, under certain conditions that will not necessarily be replicated in practice which in my opinion restricts the scope of application of the obtained results. Moreover, the references and development of statistical calculations give validity to the results obtained with regard to the environment in which the test was carried out.  Well developed work, although there is a need to test with the real mobile, under various conditions of the robot environment, to validate the results obtained in the simulator."
251,109,"The work compares four autonomous navigation architectures for mobile robots, pure reactive architectures, neural networks, fuzzy logic, and a neuro-diffuse hybrid architecture.  The work is well presented, the experimental work seems replicable and the results presented sound coherent.  The main aspect to be improved would be the analisi/discussion of the results, which can be further developed."
252,110,"The article presents a research plan that proposes to combine the theoretical constructs of competences for the management of technology (with the BTM model) and the precept of professional success (with a proposed model that combines several factors of different sources).  IT management capability is a key element for area professionals and not just their technological competencies. It seems relevant to study how these competencies impact on professional success, or at least on the subjective precept of such success.  The study contains references to relevant sources, although it is suggested to reduce the number and prioritize for the case of articles in journals or congresses.  Although the topic is relevant, there are some risks in the definition of the constructs that are not analyzed. What are the limits between the perception of professional and personal success? Can we do a study of the perception of professional success only by considering the BTM model and leaving out the technological competencies? Does the study apply to all IT professionals or only those who manage technology projects such as CIOs?  The main weakness of the research is that it is identified as an experimental method, when in fact the survey does not have the degree of control over the object of study to be classified in this way. There is also talk of causation study, but the survey would only allow for a co-relationship study.  The survey explains the factors assessed and the Lickert scale. However, examples of concrete questions are missing and explain how they will be answered by the subjects. For example: Is it viable for a person to assess their commitment or leadership? Although the relationship is being assessed in general terms and not itself, a validation of the model should be carried out first and then the survey itself with a group of experts or managers of IT professionals."
253,110,"The article shows the design of an investigation into the impact of IT skills on the perception of professional success, but it is not what it points out in its title. A section corresponding to an extensive review of previous work and definitions is observed, compared to the section showing the design of the research, which is quite brief. In my opinion it was convenient to have presented the article as a systematic review on the existing literature of the subject in order to find gaps and/or similarities in the design of the research, or to have put more emphasis on the latter. While the subject may be novel, the article does not prove it, as it is only the presentation of a research design.  In the conclusions section, no concrete conclusions are drawn from the work done, only possible scenarios for future work.  With respect to form, the article is well structured, but details are observed to correct:-abuse of ""IT""-in some paragraphs previous works are indicated without being referenced-the figure of the model is very basic (not a contribution)-paragraphs not aligned (justified)-figure 1 should have been a table-error in the correlation of figures"
254,110,"This article aims to identify the incidence of IT business competencies in the perception of professional success. We present the problem, the analysis model, the hypothesis and the research methodology.  It is an interesting topic, but the author indicates that the research is in the data collection phase and that it is about 7 months to obtain the final results.  However, the theoretical analysis done is quite important.  Figure 3 is very simple. I suggest that the proposed model provides more information. To do this, you can join in a single figure Figures 3, 4 and 2. Use numerical references and references in APA format (you should only use numeric references and correctly).  There are 2 pages with page number 3.  In page 5, Figure 4 appears, in page 6 is shown Figure 2? Is there Figure 3?  In Reference [11] does not indicate the name of the conference, Reference [15] has no date, the Reference [30] is a book?, the Reference [34] has its title written entirely in capital letters, Reference [45] says only ""Fifth"", Reference [46] says ""Second"".  In Conclusions, change ""thesis q of"" by ""thesis of"". Change ""will be displayed"" by ""will be displayed"".  References [8] and [46] are not used in the text.  The name of the author and institution should be anonymous (according to the rules of the congress).  On page 5, you should check that the text is right-justified.  On page 8, change ""are capable"" by ""being able""."
255,111,"I find it an interesting job, with an emphasis on covering practical gaps. Their content and structure are technically well presented. On the other hand, however, there is no clear distinction between previous work and the original proposal of this work. The article states that there are previous works on this pairing CMMI-AGIL but does not indicate whether these proposals are sufficient or insufficient for improvement. That is, the motivation or justification of this work is not explicit."
256,111,"The article gives a general description of the CMMI model and agile methodologies, taking as particular cases Scrum and XP. A discussion is conducted on the combination of these approaches for process improvement, mapping the REQM and PPQA process areas with their equivalents in the agile methodologies.  The article performs correct general descriptions of the methodologies, but does not contain novel research elements that contribute to the knowledge in this area. For the technical/scientific community of software engineering it is evident that the approaches have different starting points, but they are combinable. This is especially true for software process improvement experts.  The review that is conducted on the investigation of the combination of agility and CMMI is not systematic. By state of art, you do not understand a simple description of each approach, but rather to gather the most up-to-date research on this subject.  While it may be interesting to map between process areas and agile practices, it does not explain what steps are going to be taken to do this. Neither is a validation of this mapping performed or explained how it can be applied, for example by a consultant in process improvement. No empirical evidence of the applicability or usefulness of the mapping is provided."
257,111,"The article presents a description of the integration between CMMI and agile methods of development. An emphasis that the authors make is that this integration is recommended for SMEs. The development of software for the smallest companies is an unresolved challenge. As such, the authors take a theme that is interesting and well-justified the idea of the subject. However, I think they fail to develop their point in the form that would be expected from a scientific point of view. Although the authors indicate that they do a review of the literature, it is not adequately achieved, since a methodology of systematic review of this goal is not observed. On the other hand, the article in my opinion makes an appropriate summary for people who do not belong to the area but are familiar with some key concepts described in the paper. It is worth mentioning that it seems to me a well-written article and, in general, with an easy to understand structure. In addition, another criticism that I would make is that while the ideas of CMMI and agile development seem to me well described, it does not happen the same in order to adequately justify their concrete application in SMEs. I think the article could be substantially improved. A suggestion that would make for this would be the presentation of a case that gives strength to the central argument of the article, that is, CMMI and agile development are compatible and especially useful for SMEs. Thus, less emphasis could be given to the review (which seems to me to be insufficient in this regard) and the practical relevance of the argument would be raised. If so, the article could have an interesting projection. In addition, the inclusion of references should be improved as there are a large number of arguments that deserve to be clarified if they belong to an opinion of the authors or are extracted from the existing theory. There are very small spelling and grammatical errors."
258,111,"• Review the concepts of methodologies, methods and models as they are used indifferently, I recommend revising the terms, choosing the most appropriate and standardizing their use • Add reference to statements that you make within the different sections for example: ""the quality of a system or product is very influenced by the quality of the process used to develop it and maintain it"" • Summary: • Revisa wording in the use of words like: construction-> development model: methodologies? Agile methodologies are used to improve the quality of processes? review concepts of agile software development enhancement models and methodologies or ""these two models"": which models, if you are talking about agile models and methodologies • Abstract • Review the abstract wording of the abstract phrases such as: or Give -- > provide?    o Consisting of ""heavy"" development -- > processes?    o The agile software development models -- > methodologies?    o With -- > between or Models -- > methodology and model • Introduction or Basle of developments -- > development or What has previously been argued by the selection of agile processes .. processes or methodologies?    o ... have applied techniques such as process improvement processes or certifications with excellent practical results -- > here two comments: (1) I do not see the relationship between process improvement processes and certifications ... and (2) are you talking about process improvement processes or process improvement initiatives?   • State of the art or agile processes and CMMI?    o ""To secure that position, many companies turn to certifications"" -- > to certifications or to implementing improvements following models such as CMMI • Purpose and levels of CMMI or In particular, the CMMI proposal consists of a series of high-level practices and processes that help organizations build a model to improve their processes -- > CMMI is not to build models, it provides you with a set of good practices that can be implemented in organizations to improve their processes .... as mentioned in the following sentence! or Tables References • Agile software development models: or In the whole section, are you talking about models or methodologies? Since you use models, method and methodology interchangeably • Assurance of the quality of the process and the product: o Reference of the source of the source of the concepts of this section or Table 4: I recommend adding a brief description of the CMMI practice to make it better understood the relation that you propose or Table 5: review ""Planning phase: in this phase the non-conformities are detected and corrected"" -- > are you sure?    • Requirements Management (REQM): or source reference of the source of the concepts in this section or ""The Product Backlog, which allows you to draw a requirement and a responsible role for tracking it"" -- > is not understood or Table 6: (1) I recommend adding a brief description of the CMMI practices; (2) ""among which are the requirements providers"" -- > are you referring to the product owner?; or Question: who validates this traceability? or how was the validation performed?   • Conclusions: or ""Lately are applied in the industry various methodologies"" -- > what methodologies?    o ""Getting to a higher level indicates that there are a number of important practices that increase the maturity of the organization when faced with more demanding problems.""  -- > indicates that the organization is standardizing its way of working ... all work the same way or Resalting the limitations and proposing solutions to the problems in these areas, this study generates a new understanding of the improvement of processes of software development mediated with agile practices and CMMI. "" ¿?    or suggests the development of a guide to facilitate organizational improvement of the quality assurance of the process and product quality and management of CMMI requirements. -- > in which part?, this I don't see in the article development or it's also shown that the combined use set of the XP and Scrum practices improves some aspects of communication within the development teams -- > in which part of the article is this mentioned?    o Thus, the relationship of correspondence defined in this work, establishes a support guide for all the agile organization that wishes to be certified according to the CMMI process model. -- > from my point of view, the work presented does not have the depth to ensure this conclusion • References: o Review the format of the references according to the guide of the congress or Reference 9 -- > Editirial?"
259,112,"Abstract: The article seeks to analyze the existing collaboration networks between Information Systems (SI) researchers in Chile and Latin America. The co-authories of research published in Contecsi and Infonor are used to carry out a social media analysis, explaining the latter. Three questions are asked, which are then answered in the analysis of the results through tables and graphs; concluding several similarities between communities and that there is collaboration among SI researchers, which is unfortunately mostly intra-institutional.  Evaluation: The work is well done. It presents a clear and concise structure that helps the reader understand the ideas being dealt with. It is an interesting work that belongs to a process that does not yet end due to the scarcity and continuity of data. The first caused by problems of records and normalization of papers published, and the second due to new versions of the congresses that will deliver new data.  Even so, some problems are identified, these are: 1) There is no argument based on data as to why these are the two chosen congresses, given that these congresses are small.  2) Being a work of a small scope (with respect to the used congresses), the usefulness of the result is also.  Minor comment: There is an error in page numbering."
260,112,"The work exposes clearly and with good arguments an analysis of the collaboration between different researchers and institutions. It is interesting the contribution made, first as identification of the opportunities for improvement in the joint work, and second, as analysis of the local publication.  It would be interesting to apply the same methodology on other congresses in the area, be it Chilean or Latin American and see the results obtained."
261,112,"Although the work is well structured and shows a suitable methodology, the usefulness of the study is not clear. The results obtained and presented are based on a very small study period, which removes confidence in the conclusions. Some small editing and editing errors are observed in the text. It is recommended to extend the input data set of the study."
262,113,"It seems to me an interesting job, mainly for providing empirical evidence on co-creation techniques. Their content and structure are technically well presented. However, the work has relevant omissions to assess its scientific contribution. For example, it does not present statistical analysis of the data thrown. It only exposes a distribution of the results without evidencing statistical significance. I also miss a section (or in the conclusions) about limitations to the validity of the experiment. I think it has several threats to validity that have not been dealt with. To name a few: it is not explained if the assignment to the groups was randomly; the time of the sessions is different; the learning in previous sessions, etc.  Other suggestions: p. 1 Title I think the title is not appropriate. It does not represent the core of the work that is an experiment. p. 4 Second column Errors in pag bullet format. 4 Third bullet second column each VEZ that has been paid. 5 Last bullet first column parenthesis"
263,113,"The article is about collaboration in creating content through social networks. The article is well structured and with some drafting details. The bibliography does not meet the format required by the congress.  With regard to the subject of the article, there was initially a doubt as to whether the article for the congress was relevant, since it was an experiment on the social behavior of individuals through social networks. Subsequently, when reviewing the experiment, it can be seen that the relevance is in the perspective of education in computer engineering. Therefore, I recommend that the article modify the summary by mentioning the scope of the experiment so that the reader, from the beginning, has more knowledge about the article. In addition, for more relevance to the congress, it is recommended to give greater emphasis on the collaboration for the development of some tasks of the discipline, such as the analysis and/or design of systems. Finally the article is novel in the way of how to perform some tasks through social networks."
264,113,"This article presents the results of an experiment where it is evident that co-creation techniques applied through social networks and making use of mobile devices can enhance the creativity of the participants. It is an interesting topic and I think it can be a contribution to the congress.  The form of presentation of the article should be improved.  Some observations and/or comments:-The first two paragraphs of the Introduction is almost the entirety of the Summary. -On page 4, change ""every one"" for ""every time"". -On page 5, Step 3, do not close parentheses on two occasions. -I suggest enlarge Figure 2. -I consider it excessive to use a page for a single figure. -In Reference [11], correct ""Conference on the, 2009""-Page number 3 is repeated three times. -After page 7, follow with page 3. -Reference [4] says ""2004b"""
265,114,"The paper has the following sections Introduction, Theoretical Analysis, Results, and Conclusions.  Paper is poorly structured. In the section Theoretical Analysis, basic concepts and methodological aspects are intermingled. The Results section of a case study that is nowhere to be defined. Subsequently, an analysis is carried out in terms of results on an experimental situation not described in detail that guarantees a minimum experimental replicability. Finally, the Thanking section is highly informal.  The wording does not follow the usual canon of papers (third person writing), but is presented in the first person. The order and presentation of each section are substantially improved.  In summary, the paper suggests the idea that the implementation of safety-instrumented systems is vital to improve the safety and quality of processes in the industry. However, no models, experiences, concrete empirical results or other equivalent are proposed. There are no real reasons for proposing the acceptance of this work."
266,114,"The paper presents an investigation focused on evaluating the impact of the instrumented security systems on the processes to which they apply.  The number of references is poor, considering the nature of the research. The use of references in the introductory section is particularly scarce. Also, the introduction does not make clear the contribution of research nor the methodology used, both things should be part of this section in a concise way.  The use of the first plural person should be avoided in the wording (e.g., 3rd paragraph of the ""theoretical analysis"" section).  Place the references within the paragraph, not outside (e.g., paragraph ""Security measures"", "" ... initiated. [7] "", should be"" ... initiated [7]. "" This is repeated in other parts of the document.  First paragraph writing error of 3era page.  Inconsistent reference format (second paragraph at ""Remainer risk accepted""). Also misusing score (1st paragraph of 4ta page).  On the results, these are not clear. The research question is poorly or ambiguously raised. On the basis of this, it is impossible to understand the input or approach. This added to the limited theoretical framework delivered, the relevance of the research presented is not justified.  The conclusions do not refer to any aspect of research or future work.  The format of the references must be reviewed.  For all the reasons set out above, the job does not have enough quality to be accepted."
267,115,"This article presents a ""state of the art"" in cooperative systems with multiple robots. From this perspective, it is an appropriately written disclosure article that from the bibliography point of view includes current references.  It is complex to carry out an evaluation of an article of this type for its contribution, although it would have been appropriate to provide some final by-product, such as a comparative table or some evaluation (areas of application?) based on the research work."
268,115,"The work presents a study of the state of the art as far as multi-robot cooperative robotics systems are concerned. The focus of the review is the control architecture present in those systems.  The abstract in English should be revised in its wording, especially the use of words, such as ""giving""-> ""providing"", ""panoramic""-> ""general"", etc.  The introduction does not provide a greater contribution to the structure of the document. There is a little talk about research associated with the subject, but with very low use in references and the section ends abruptly without explaining methodology or contributions of the work.  The work delivers a very unclear ""approach to the problem"" and does not provide greater relevance. Moreover, in addition to identifying some approaches to the context, the work does not propose any solution, alternative, categorization, framework or contribution in general to the (unclear) problem presented.  In short, the work performs a relatively adequate collection of information regarding multi-robot cooperative robotics systems, however, beyond that, a real contribution or relevance from the scientific point of view to the work is not revealed. If these points were clearer, if the methodology were to be presented directly, and if a specific research product were to be presented, this work could be accepted, but in its current state it is not recommended."
269,115,"It is a study of the state of the multi robot distributed control art. Unfortunately we are faced with the preliminary presence of the investigation, so its references are according to the advance. The problem is that the problem is not perceived to be solved specifically, if it manifests the future intention of a line of work, indicating open spaces to investigate.  There is a lack of preparation of the work; nemonics are used that are not defined previously.  You should avoid writing in first person.  The references are appropriate, but with little analysis, which could make the work more interesting."
270,116,"A very well written and interesting article. It would have been interesting to include the original and the proposed algorithms more rigorosa (step 1, step 2, etc.) as well as a statistical analysis of the quality of the responses of both.   Mention in the text Figure 4.  Improve the quality of figures 6 and 7.   In some parts it places equation (n), in other ec. (n) and in other equation (ec). (n) ... register for the first or second.  We also give the name of the authors in the bibliographic references, as some use initials, in another the full names and in other mixed ones."
271,116,"The work presents a method of detecting fractures in well images.  The work in general, is very unconvincing for several reasons: 1.-I invite MUCH space to describe the fundamentals but not to compare and/or discuss with the state of the art. There are many adaptive methods of image classification, and the problem presented has nothing different, except for a different application.  2.-The hypothesis is not clear, so the contribution of the work cannot be measured.  3.-The detection method described only defines mathematical formulas for the geometric characterization of the fractures. This is a fairly unrobust procedure and more so, the results evaluating the method are also not convincing in standard metrics used (accuracy, error, ROC curve, etc).  4.-The experimental methodology is very weak, does not compare the method with the state of the art, nor does it use standard metrics to analyze the accuracy/accuracy of the method."
272,116,"This work shows the proposed procedure for the automatic detection of fractures in wells. The methodology is innovative and interesting. The article shows the methodology well and has a good wording, but at the end of the article there is no better presentation of the results in real wells.  It is not clear the input of the article, first indicates that it is the automatic detection and elsewhere indicates that it is the modification to the algorithm.  It should improve the presentation of results in real wells and compare it with the desired and perhaps with the results of applying other techniques."
273,117,"The paper describes the current context of the use of available technologies to automatically control the dosage of macronutrients in crops treated without soil.  The work is relevant in its definition and development. However, the title induces an expectation that cannot be satisfied in the document. The paper offers a discussion on the state of art in technology for the problem addressed, however, it does not offer a comparative framework, selection criteria, or suggestion on good practices.  As the first approach to the research area is relevant, however, some more work of its own must be added to the paper."
274,117,"The article carries out an interesting bibliographic study on AI technology applied in the field of fertigation and nutrient dosing for crops without soil. It does not set or describe the design of a solution on a case study, and only stays in the preliminary study. So the title ""Design and Build an Automatic System ....""  It does not correspond, and it should be oriented to what it describes, that is to say something like: ""Analysis and study of the automatic systems ...""  It is an interesting survey type article but it contradicts with the title and the introduction, the conclusions are also not according to this type of work, should be more ad-hoc with comparative variables."
275,117,"The title of the work induces the reader to wait to meet the design and implementation of a system of control of irrigation, however as the reading of the document deepens this is increasingly distant, since the author proposes a review of various results of works carried out by third parties in a kind of collection of information concerning the subject, in order to finally raise from his point of view which of these results could be considered of interest depending on the type of crop.  It is necessary to modify the name of the article since it leads to confusion for the reader, since at the end of reviewing the document has not been obtained as a result of the design or less the construction of the irrigation system, only alternatives have been obtained to consider depending on several factors. Perhaps it is necessary to focus on a specific type of crop to carry out in detail the design and implementation of the irrigation system in order to carry out tests that validate the work done."
276,118,"The article describes an interesting application of control of a physical device (for the case under study, a mobile robot of Lego Mindstorms), by processing the signals derived from changes of facial and/or mental nature, coming from an Emotiv EEG helmet, which performs a high resolution electroencephalogram. However, despite the interesting nature of the work presented, the article lacks the rigor that characterizes the methodological process of research, a critical bibliographic discussion is not observed, there is no clear definition of the problem to be investigated, it presents a poor discussion of results and abundant errors of form (Ej. page 3 presents the following text "" Error! The origin of the reference is not found "", there is no page 2, etc.), which denote that the author was not rigorous in his review before the shipment. Finally in my opinion the work is a good contribution as an excellent project or workshop work within the curricular mesh of some computer or electronic career."
277,118,The paper corresponds to a very good application of a platform for gestural interface of actions with a robot. It is well written and with good use of references
278,119,"The paper offers a comparison regarding the application of algorithms for the removal of impulsive noises in two types of hardware architectures: GPU and CPU.  The document in general has a poor wording, especially from page 4 onwards.  The summary of the work is appropriate, however, its wording needs to be revised, e.g. the use of commas.  In the introduction, we talk about (i) image processing, in the middle (ii) you point out what is done in the present work and then you continue with (iii) a comparison between GPU and CPU. This structure is not suitable, it should be i-iii-ii, or simply move iii to the later sections and leave i-ii. Besides that, there is not much talk about the experimental design and the results obtained, things that should be included in the introduction.  Page 3 has a large white space to be fixed.  Section ' A. Phase of review "" does not have much value as an independent section, since it mentions something that is natural in a study of this type, which is the bibliographic review. It would be much better to join it with the next section (B).  the section ' D. Artifacts resulting from the project ""speak of"" research results "", but only aspects of the software are mentioned, but only a spreadsheet of results is mentioned, however results directly associated with the research are not observed.  Page 5 has another blank space.  In general, the presentation of results is poor. There is no table that clearly indicates the results and the graphs presented do not look good. The analysis of the results is adequate, but there is a lack of depth and relevance to what exactly we want to compare in both architectures. The images are not used or explained in the comparison.  In short, the work has good fate but requires a thorough corrective work to be adequate and scientifically acceptable."
279,119,"In practice, it performs a communication using a scheme of distribution of undeclared processes and data, in order to solve the problem of noise, it does not indicate the method of image processing, nor does the strategy used, it does an information handling by way of introduction to the CPU-GPU theme.  It is clearly a job that attacks a preliminary, simple image processing, where the method to paralyze and the strategy to be used for its parallelization in GPU or CPU-GPU must be shown.  From the image processing point of view it is a little original theme, but it is interesting that you start working on parallelism in CPU-GPU's, which is not new, but what is interesting are the parallelization strategies, the how to partition the processes and data, the how to use the grids, blocks and threads, how to put together a topology if possible, to give a solution that minimises the execution time.  Specify clearly what is an image processing job, filters that is used, method, and parallelization strategy."
280,119,"What is the contribution of the work?  The discussion of experiments and results is not very exhaustive.  What is the hypothesis of work?  The aim is not clear to compare as there are confusion between measuring aspects of ""efficiency"" (e.g. time) versus ""effectiveness"" (noise management and results obtained when processing images).  The organisation of work is a bit confusing.  In many parts, the work is more focused on describing ""systems"" and the ""application"" rather than the contribution and the model itself.  What does the proposed algorithm compare against??"
281,120,"This work describes in a practical way, a communication of how to introduce to the use of a particular robot, under a free testing environment, that works with this type of application. While it is well written, it only provides as a tutorial, rather than as a result of an investigation. It is noted that it is working very well, but it is a preliminary work.  The writing should be reviewed, because the abstract is very introductory, not indicating the relevant of what the work presents, also used nemonics of which are not described before. In the summary and keywords, nemonics are used that are not described in the text above. It has the particularity that it's a good job, but it's preliminary.  It does not present the architecture of the realized, images that account for the simulations, results achieved."
282,120,"The work describes the navigation of a mobile robot using ROS and the Raspberry PI hardware. The description falls into focus on configuration details, to the point of looking like an installation or commissioning manual. There is no report of results, less analysis of the proposed solution. Given the above, and as presented is not an article for conference. Only a report of how to use and configure the Raspberry PI."
283,121,Very interesting work as it incorporates an evaluation with users of the proposed prototype. It's well drafted and the results are clear.
284,121,"The authors present the work of the construction and evaluation of a visual tool to help the data mining process. The results of using the same on a user group and on a specific task are displayed.  Suggestions:-The conclusions mention the opportunity to build other support tools, however, they do not mention what they could be. -There is no mention of the reason to select WEKA as a base tool for the construction of the proposed software. -It should be added as an annex the detail of the experiment performed, indicating the model used, obtained results, etc.   Form:-The second paragraph of the introduction does not make clear what the intention of the introduction is, it should be redrafted. -Extensive use of acronyms, which confuse and hinder the reading of the work."
285,121,"The article proposes and evaluates an application developed to better represent the results of association rules algorithms. In general the article seems to me well written and structured. Perhaps, to improve, the structure of the document would add a special section dedicated to the methodology and describe it in more detail. The authors qualitatively evaluate the performance of the interface in terms of the ease of interpretation of the information that it delivers. To do this they expose the information to a group of users. The user assessment method is one known and validated. However, the article explains very superficially the process of validation of used users. On the other hand, the results of the evaluation presented are only descriptive. Statistical techniques of consensus measurement of interpreters such as the index of Kappa or others could have been used to analyze the quality of the match between the evaluators. In short, it seems to me a good article with a well-crafted but methodologically improved idea."
286,122,"The article seeks to summarize and review the filtering and segmentation algorithms of points in computer vision. In the words of the authors ""The objective of this work is to carry out a review of the state of the art in terms of the treatment of points clouds"". In my opinion it does not achieve this stated objective. My reasons are stated below. First, it is noteworthy that as an article that purporting to establish the state of art, it has a very limited bibliography (14 articles). In this sense, it would be more appropriate to indicate that this work is of a preliminary type (if it is so), since such a low number of revised articles would be justified. Second, and which seems to me to be of greater relevance, the work does not make an adequate summary of the bibliography, but rather it seems to be a point about some methods of filtering and segmentation. A review of the state of art, in my opinion, should have a purpose such as identifying the main gaps in literature or research opportunities. Third, although a literature review is, in essence, a summary, it must be systematic. That is, you must have a method that has to be specified. For example, what was the search equation used and what was the time range and selection criteria for the revised items or which ones were removed and why. Finally, although it does not have to do with the content or the objective of the article, there are obvious problems of format. For example, the whole section of conclusions is focused rather than justified. In addition, there are drafting problems which in some parts make it difficult to understand the text. For example, the first paragraph in the subsection ""Segmentation"" says, ""The process of generating a surface model from a point cloud, the segmentacorn that extracts the edges and partitions of the 3D world, the points play an important role in the lace of the surfaces."" There are also spelling errors like writing ""laser"" and ""laser"" on different parts of the document. In short, the article does not achieve its objective of being a review of the state of the art and, moreover, it has errors of obvious format."
287,122,"The article is a review of the state of art on 3D processing from a point cloud. To be a review of the state of art there are few articles related to the subject. A clear description of the point cloud processing for reconstruction is not provided. The applications are missing associated references, as there are many items related to surface reconstruction applications.  The article also has some formatting and drafting problems: paragraphs not adjusted to both sides, abbreviations that are not understood (PCL)"
288,122,"• Titles do not go with ""."" • Summary or ""The purpose of this document is to try to collect ..."" -- > I suggest removing the word try • Abstract oReview the grammar as there are a lack of articles and some poorly worded phrases for example:-The images emerging technologies -- > the images technology emerging-such as machine vision systems and scanning -- > such as the machine vision systems and the scanning ...    -...The objective of this paper is to try to collect ... -- > The objective of this paper is to try to collect-the state of the art processing for 3d point cloud processing, going from the filters to the segmentation -- > the state of the art of processing the 3d point for the cloud processing going from the filters to the segmentation oText in general review the lack of accents and duplicate words, among others: -Introduction: machines -Work done: • ... that in general, what -- > second to spare • Work done oSimplification of points, the second time it puts the reference [3] to spare-The first time that they appear RANSAC meaning?       • Segmentation or ...Many investigations -- > which ones? Include reference of that set of many research does the word condage exist? In the non-oPresen SAR-so -- > present • Conclusions-Format of the conclusions • References oComplete the references: 2,3,4,5,6,7 and 11 • The article stays in a collection of the work in filtering and documentation of the cloud of points, I recommend to go further, this is to make a mapping of the works that you mention, the first one of the simplification and the second one of the segmentation based on the characteristics, scope, weaknesses and opportunities of improvement identified, this so that you really make a contribution with your article"
289,123,"Summary: The work shows a model for measuring value and searching for its traceability. It is proposed to co-create value with the client as a method of creating value. In order to analyze the contribution of the co-creation the concept of traceability is introduced. He then explains a series of proposed variables to measure the value co-created under a conceptual model along with another model that allows the traceability of the various inputs through links. Finally, the results of the model are briefly outlined in a case.  Evaluation: Implementing co-creation types is very important for organizations today. It is interesting how the article mixes co-creation with traceability and proposes ways to measure it, presenting new tools for the organization.  Unfortunately the article has great weaknesses: 1) The scope may not be appropriate for a congress as INFONOR. 2) The results are brief and weakly exemplified, which makes it difficult to understand the use of the model.  3) More examples could be used to facilitate reading.  4) The paper format has problems.  Other comments: There are problems of drafting: a) ""Organizations engage with consumers to produce some concepts or initial ideas and use the consumers"" Abuse in the word consumer b) ""is valid the model of Systemic Archetypes"" small mistake, clearly ""the other"""
